No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
2.32, 3.50843, 1.94401,0.737356,8.49157, -1.94401,-0.737356
2.33, 3.52787, 1.95138,0.708196,8.47213, -1.95138,-0.708196
2.34, 3.54738, 1.95847,0.678925,8.45262, -1.95847,-0.678925
2.35, 3.56697, 1.96526,0.649548,8.43303, -1.96526,-0.649548
2.36, 3.58662, 1.97175,0.62007,8.41338, -1.97175,-0.62007
2.37, 3.60634, 1.97795,0.590494,8.39366, -1.97795,-0.590494
2.38, 3.62612, 1.98386,0.560824,8.37388, -1.98386,-0.560823
2.39, 3.64596, 1.98946,0.531066,8.35404, -1.98946,-0.531066
2.4, 3.66585, 1.99478,0.501224,8.33415, -1.99478,-0.501224
2.41, 3.6858, 1.99979,0.471302,8.3142, -1.99979,-0.471302
2.42, 3.7058, 2.0045,0.441306,8.2942, -2.0045,-0.441306
2.43, 3.72584, 2.00891,0.411238,8.27416, -2.00891,-0.411238
2.44, 3.74593, 2.01303,0.381104,8.25407, -2.01303,-0.381104
2.45, 3.76606, 2.01684,0.350909,8.23394, -2.01684,-0.350909
2.46, 3.78623, 2.02035,0.320656,8.21377, -2.02035,-0.320656
2.47, 3.80643, 2.02355,0.290351,8.19357, -2.02355,-0.290351
2.48, 3.82667, 2.02646,0.259998,8.17333, -2.02646,-0.259998
2.49, 3.84693, 2.02906,0.229601,8.15307, -2.02906,-0.229601
2.5, 3.86722, 2.03135,0.199166,8.13278, -2.03135,-0.199166
2.51, 3.88754, 2.03334,0.168695,8.11246, -2.03334,-0.168694
2.52, 3.90787, 2.03503,0.138195,8.09213, -2.03503,-0.138195
2.53, 3.92822, 2.03641,0.10767,8.07178, -2.03641,-0.107669
2.54, 3.94858, 2.03749,0.0771232,8.05142, -2.03749,-0.0771232
2.55, 3.96896, 2.03826,0.046561,8.03104, -2.03826,-0.0465603
2.56, 3.98934, 2.03873,0.0159872,8.01066, -2.03873,-0.0159874
2.57, 4.00973, 2.03889,-0.0145941,7.99027, -2.03889,0.0145941
2.58, 4.03012, 2.03874,-0.045177,7.96988, -2.03874,0.045177
2.59, 4.05051, 2.03829,-0.0757585,7.94949, -2.03829,0.0757585
2.6, 4.07089, 2.03753,-0.106333,7.92911, -2.03753,0.106333
