No iterations: 20000
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.0267, 0.973382, -0.990668,0.700545,2.02662, 0.990668,-0.700545
0.0268, 0.973283, -0.990598,0.703152,2.02672, 0.990598,-0.703149
0.0269, 0.973184, -0.990528,0.70576,2.02682, 0.990528,-0.70576
0.027, 0.973085, -0.990457,0.708367,2.02691, 0.990457,-0.708364
0.0271, 0.972986, -0.990386,0.710973,2.02701, 0.990386,-0.710974
0.0272, 0.972887, -0.990315,0.713579,2.02711, 0.990315,-0.713578
0.0273, 0.972788, -0.990244,0.716185,2.02721, 0.990244,-0.716189
0.0274, 0.972689, -0.990172,0.718793,2.02731, 0.990172,-0.718793
0.0275, 0.97259, -0.9901,0.721398,2.02741, 0.9901,-0.721397
0.0276, 0.972491, -0.990028,0.724004,2.02751, 0.990028,-0.724007
0.0277, 0.972392, -0.989956,0.72661,2.02761, 0.989956,-0.726611
0.0278, 0.972293, -0.989883,0.729215,2.02771, 0.989883,-0.729215
0.0279, 0.972194, -0.98981,0.73182,2.02781, 0.98981,-0.731819
0.028, 0.972095, -0.989737,0.734424,2.0279, 0.989737,-0.734424
0.0281, 0.971996, -0.989664,0.737031,2.028, 0.989664,-0.737028
0.0282, 0.971897, -0.98959,0.739635,2.0281, 0.98959,-0.739638
0.0283, 0.971798, -0.989516,0.742241,2.0282, 0.989516,-0.742242
0.0284, 0.971699, -0.989442,0.744845,2.0283, 0.989442,-0.744846
0.0285, 0.9716, -0.989367,0.74745,2.0284, 0.989367,-0.74745
0.0286, 0.971501, -0.989293,0.750054,2.0285, 0.989293,-0.750054
0.0287, 0.971403, -0.989218,0.752655,2.0286, 0.989218,-0.752658
0.0288, 0.971304, -0.989142,0.755259,2.0287, 0.989142,-0.755256
0.0289, 0.971205, -0.989067,0.757861,2.0288, 0.989067,-0.75786
0.029, 0.971106, -0.988991,0.760465,2.02889, 0.988991,-0.760464
0.0291, 0.971007, -0.988915,0.763069,2.02899, 0.988915,-0.763069
0.0292, 0.970908, -0.988839,0.765672,2.02909, 0.988839,-0.765673
0.0293, 0.970809, -0.988762,0.768274,2.02919, 0.988762,-0.768277
0.0294, 0.97071, -0.988685,0.770875,2.02929, 0.988685,-0.770875
0.0295, 0.970611, -0.988608,0.773479,2.02939, 0.988608,-0.773479
0.0296, 0.970512, -0.988531,0.77608,2.02949, 0.988531,-0.776083
0.0297, 0.970414, -0.988453,0.778681,2.02959, 0.988453,-0.778681
0.0298, 0.970315, -0.988375,0.781284,2.02969, 0.988375,-0.781285
0.0299, 0.970216, -0.988297,0.783883,2.02978, 0.988297,-0.783882
0.03, 0.970117, -0.988219,0.786487,2.02988, 0.988219,-0.786487
0.0301, 0.970018, -0.98814,0.789088,2.02998, 0.98814,-0.789084
0.0302, 0.969919, -0.988061,0.791688,2.03008, 0.988061,-0.791689
0.0303, 0.969821, -0.987982,0.794287,2.03018, 0.987982,-0.794286
0.0304, 0.969722, -0.987903,0.79689,2.03028, 0.987903,-0.79689
0.0305, 0.969623, -0.987823,0.799488,2.03038, 0.987823,-0.799488
0.0306, 0.969524, -0.987743,0.802087,2.03048, 0.987743,-0.802086
0.0307, 0.969426, -0.987663,0.804687,2.03057, 0.987663,-0.80469
0.0308, 0.969327, -0.987582,0.807287,2.03067, 0.987582,-0.807288
0.0309, 0.969228, -0.987502,0.809886,2.03077, 0.987502,-0.809886
0.031, 0.969129, -0.987421,0.812484,2.03087, 0.987421,-0.812484
0.0311, 0.969031, -0.987339,0.815085,2.03097, 0.987339,-0.815081
0.0312, 0.968932, -0.987258,0.817682,2.03107, 0.987258,-0.817686
0.0313, 0.968833, -0.987176,0.820283,2.03117, 0.987176,-0.820283
0.0314, 0.968734, -0.987094,0.82288,2.03127, 0.987094,-0.822881
0.0315, 0.968636, -0.987012,0.825478,2.03136, 0.987012,-0.825479
0.0316, 0.968537, -0.986929,0.828076,2.03146, 0.986929,-0.828077
0.0317, 0.968438, -0.986846,0.830674,2.03156, 0.986846,-0.830675
0.0318, 0.96834, -0.986763,0.833269,2.03166, 0.986763,-0.833272
0.0319, 0.968241, -0.98668,0.835867,2.03176, 0.98668,-0.835864
