No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
1.98, 5.73665, -0.305605,-3.35498,6.45561, 0.765244,0.816588
1.99, 5.73359, -0.339155,-3.35039,6.46326, 0.77341,0.80511
2, 5.7302, -0.372659,-3.3453,6.47099, 0.781461,0.793509
2.01, 5.72648, -0.406112,-3.33972,6.47881, 0.789396,0.781787
2.02, 5.72242, -0.439509,-3.33362,6.4867, 0.797214,0.769946
2.03, 5.71802, -0.472846,-3.32703,6.49467, 0.804914,0.757988
2.04, 5.71329, -0.506116,-3.31994,6.50272, 0.812493,0.745914
2.05, 5.70823, -0.539315,-3.31235,6.51085, 0.819953,0.733727
2.06, 5.70284, -0.572439,-3.30426,6.51905, 0.82729,0.721427
2.07, 5.69711, -0.605481,-3.29567,6.52732, 0.834504,0.709018
2.08, 5.69106, -0.638438,-3.28659,6.53567, 0.841594,0.6965
2.09, 5.68467, -0.671304,-3.27701,6.54408, 0.848559,0.683877
2.1, 5.67796, -0.704074,-3.26694,6.55257, 0.855398,0.671148
2.11, 5.67092, -0.736743,-3.25638,6.56112, 0.862109,0.658317
2.12, 5.66355, -0.769307,-3.24533,6.56974, 0.868693,0.645385
2.13, 5.65586, -0.80176,-3.23379,6.57843, 0.875147,0.632355
2.14, 5.64784, -0.834098,-3.22176,6.58718, 0.88147,0.619228
2.15, 5.6395, -0.866316,-3.20925,6.596, 0.887662,0.606005
2.16, 5.63084, -0.898409,-3.19626,6.60487, 0.893722,0.592691
2.17, 5.62185, -0.930371,-3.18278,6.61381, 0.899649,0.579285
2.18, 5.61255, -0.962199,-3.16883,6.62281, 0.905442,0.56579
2.19, 5.60293, -0.993887,-3.15439,6.63186, 0.9111,0.552209
2.2, 5.59299, -1.02543,-3.13948,6.64097, 0.916622,0.538542
2.21, 5.58274, -1.05683,-3.1241,6.65014, 0.922008,0.524793
