No iterations: 900
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
1.78, 5.77535, 0.794978,-2.73042,10.5843, 4.39517,-4.30114
1.79, 5.7833, 0.767673,-2.73996,10.6282, 4.35216,-4.35388
1.8, 5.79098, 0.740274,-2.74917,10.6718, 4.30862,-4.40611
1.81, 5.79838, 0.712782,-2.75805,10.7148, 4.26456,-4.45781
1.82, 5.80551, 0.685202,-2.76661,10.7575, 4.21998,-4.50899
1.83, 5.81236, 0.657536,-2.77483,10.7997, 4.17489,-4.55962
1.84, 5.81893, 0.629787,-2.78272,10.8414, 4.12929,-4.60972
1.85, 5.82523, 0.60196,-2.79028,10.8827, 4.0832,-4.65927
1.86, 5.83125, 0.574057,-2.7975,10.9236, 4.0366,-4.70827
1.87, 5.83699, 0.546082,-2.80439,10.9639, 3.98952,-4.75671
1.88, 5.84245, 0.518038,-2.81094,11.0038, 3.94195,-4.80459
1.89, 5.84763, 0.489929,-2.81716,11.0432, 3.89391,-4.85189
1.9, 5.85253, 0.461757,-2.82304,11.0822, 3.84539,-4.89862
1.91, 5.85715, 0.433527,-2.82858,11.1206, 3.7964,-4.94476
1.92, 5.86148, 0.405241,-2.83378,11.1586, 3.74696,-4.99032
1.93, 5.86554, 0.376903,-2.83864,11.1961, 3.69705,-5.03528
1.94, 5.86931, 0.348517,-2.84317,11.233, 3.6467,-5.07965
1.95, 5.87279, 0.320085,-2.84735,11.2695, 3.5959,-5.12341
1.96, 5.87599, 0.291612,-2.85119,11.3055, 3.54467,-5.16656
1.97, 5.87891, 0.2631,-2.85469,11.3409, 3.493,-5.20909
1.98, 5.88154, 0.234553,-2.85785,11.3758, 3.44091,-5.25101
1.99, 5.88388, 0.205974,-2.86066,11.4103, 3.3884,-5.2923
2, 5.88594, 0.177368,-2.86313,11.4441, 3.33548,-5.33296
2.01, 5.88772, 0.148737,-2.86526,11.4775, 3.28215,-5.37299
2.02, 5.88921, 0.120084,-2.86705,11.5103, 3.22842,-5.41237
2.03, 5.89041, 0.0914135,-2.86849,11.5426, 3.1743,-5.45111
2.04, 5.89132, 0.0627286,-2.86958,11.5743, 3.11979,-5.48921
2.05, 5.89195, 0.0340327,-2.87034,11.6055, 3.06489,-5.52664
2.06, 5.89229, 0.00532937,-2.87075,11.6362, 3.00963,-5.56342
2.07, 5.89234, -0.0233781,-2.87081,11.6663, 2.95399,-5.59954
2.08, 5.89211, -0.0520862,-2.87053,11.6958, 2.898,-5.63498
2.09, 5.89159, -0.0807915,-2.8699,11.7248, 2.84165,-5.66976
2.1, 5.89078, -0.109491,-2.86893,11.7532, 2.78495,-5.70386
2.11, 5.88968, -0.13818,-2.86762,11.7811, 2.72791,-5.73728
2.12, 5.8883, -0.166856,-2.86596,11.8083, 2.67054,-5.77002
2.13, 5.88663, -0.195516,-2.86396,11.8351, 2.61284,-5.80206
2.14, 5.88468, -0.224155,-2.86161,11.8612, 2.55482,-5.83342
2.15, 5.88244, -0.252771,-2.85892,11.8867, 2.49648,-5.86407
2.16, 5.87991, -0.281361,-2.85589,11.9117, 2.43784,-5.89403
2.17, 5.8771, -0.30992,-2.85251,11.9361, 2.3789,-5.92329
2.18, 5.874, -0.338445,-2.8488,11.9599, 2.31967,-5.95183
2.19, 5.87061, -0.366933,-2.84473,11.9831, 2.26015,-5.97967
2.2, 5.86694, -0.39538,-2.84033,12.0057, 2.20035,-6.00679
2.21, 5.86299, -0.423783,-2.83559,12.0277, 2.14029,-6.0332
2.22, 5.85875, -0.452139,-2.8305,12.0491, 2.07995,-6.05888
2.23, 5.85423, -0.480444,-2.82508,12.0699, 2.01937,-6.08384
2.24, 5.84942, -0.508695,-2.81931,12.0901, 1.95853,-6.10807
2.25, 5.84434, -0.536888,-2.81321,12.1096, 1.89745,-6.13157
2.26, 5.83897, -0.56502,-2.80676,12.1286, 1.83613,-6.15434
2.27, 5.83332, -0.593088,-2.79998,12.147, 1.77459,-6.17638
2.28, 5.82739, -0.621088,-2.79287,12.1647, 1.71282,-6.19767
2.29, 5.82118, -0.649016,-2.78541,12.1819, 1.65085,-6.21822
2.3, 5.81469, -0.67687,-2.77762,12.1984, 1.58867,-6.23803
2.31, 5.80792, -0.704647,-2.7695,12.2142, 1.52628,-6.2571
2.32, 5.80087, -0.732342,-2.76105,12.2295, 1.46371,-6.27541
2.33, 5.79355, -0.759952,-2.75226,12.2441, 1.40096,-6.29298
2.34, 5.78595, -0.787475,-2.74314,12.2582, 1.33803,-6.30979
2.35, 5.77807, -0.814906,-2.73369,12.2715, 1.27493,-6.32585
2.36, 5.76993, -0.842243,-2.72391,12.2843, 1.21167,-6.34115
2.37, 5.7615, -0.869482,-2.7138,12.2964, 1.14826,-6.35568
2.38, 5.75281, -0.89662,-2.70337,12.3079, 1.08471,-6.36946
2.39, 5.74384, -0.923654,-2.69261,12.3187, 1.02101,-6.38248
2.4, 5.73461, -0.95058,-2.68153,12.3289, 0.957186,-6.39473
2.41, 5.7251, -0.977395,-2.67012,12.3385, 0.893238,-6.40622
2.42, 5.71533, -1.0041,-2.65839,12.3474, 0.829176,-6.41694
2.43, 5.70528, -1.03068,-2.64634,12.3557, 0.765007,-6.42689
2.44, 5.69498, -1.05714,-2.63397,12.3634, 0.700738,-6.43607
2.45, 5.68441, -1.08348,-2.62129,12.3704, 0.636377,-6.44448
2.46, 5.67357, -1.1097,-2.60829,12.3768, 0.571932,-6.45211
2.47, 5.66247, -1.13578,-2.59497,12.3825, 0.507411,-6.45898
2.48, 5.65112, -1.16173,-2.58134,12.3876, 0.442822,-6.46507
2.49, 5.6395, -1.18754,-2.5674,12.392, 0.378171,-6.47038
2.5, 5.62762, -1.21322,-2.55315,12.3958, 0.313467,-6.47492
2.51, 5.61549, -1.23875,-2.53859,12.3989, 0.248718,-6.47868
2.52, 5.6031, -1.26413,-2.52373,12.4014, 0.183931,-6.48166
2.53, 5.59046, -1.28937,-2.50856,12.4032, 0.119114,-6.48387
2.54, 5.57757, -1.31446,-2.49308,12.4044, 0.0542758,-6.4853
2.55, 5.56442, -1.33939,-2.47731,12.405, -0.0105772,-6.48595
2.56, 5.55103, -1.36416,-2.46124,12.4049, -0.0754367,-6.48583
2.57, 5.53739, -1.38877,-2.44487,12.4041, -0.140295,-6.48492
2.58, 5.5235, -1.41322,-2.4282,12.4027, -0.205144,-6.48324
2.59, 5.50937, -1.4375,-2.41124,12.4006, -0.269977,-6.48077
2.6, 5.49499, -1.46162,-2.39399,12.3979, -0.334784,-6.47753
2.61, 5.48038, -1.48556,-2.37645,12.3946, -0.39956,-6.47352
2.62, 5.46552, -1.50932,-2.35863,12.3906, -0.464295,-6.46872
2.63, 5.45043, -1.53291,-2.34051,12.386, -0.528982,-6.46315
2.64, 5.4351, -1.55631,-2.32212,12.3807, -0.593614,-6.4568
2.65, 5.41954, -1.57953,-2.30344,12.3747, -0.658182,-6.44968
2.66, 5.40374, -1.60257,-2.28449,12.3682, -0.722678,-6.44178
2.67, 5.38772, -1.62541,-2.26526,12.3609, -0.787096,-6.43311
2.68, 5.37146, -1.64806,-2.24575,12.3531, -0.851427,-6.42366
2.69, 5.35498, -1.67052,-2.22598,12.3445, -0.915664,-6.41345
2.7, 5.33828, -1.69278,-2.20593,12.3354, -0.979798,-6.40246
2.71, 5.32135, -1.71484,-2.18562,12.3256, -1.04382,-6.3907
2.72, 5.3042, -1.7367,-2.16504,12.3151, -1.10773,-6.37818
2.73, 5.28683, -1.75835,-2.1442,12.3041, -1.17151,-6.36488
2.74, 5.26925, -1.77979,-2.1231,12.2924, -1.23516,-6.35082
2.75, 5.25145, -1.80102,-2.10174,12.28, -1.29867,-6.336
2.76, 5.23344, -1.82204,-2.08013,12.267, -1.36203,-6.32042
2.77, 5.21522, -1.84284,-2.05827,12.2534, -1.42523,-6.30407
2.78, 5.19679, -1.86342,-2.03615,12.2391, -1.48827,-6.28697
2.79, 5.17816, -1.88378,-2.01379,12.2243, -1.55114,-6.26911
2.8, 5.15932, -1.90392,-1.99118,12.2087, -1.61383,-6.2505
2.81, 5.14028, -1.92383,-1.96834,12.1926, -1.67634,-6.23113
2.82, 5.12104, -1.94352,-1.94525,12.1758, -1.73865,-6.21102
2.83, 5.10161, -1.96297,-1.92193,12.1585, -1.80076,-6.19015
2.84, 5.08198, -1.98219,-1.89837,12.1405, -1.86266,-6.16854
2.85, 5.06216, -2.00117,-1.87459,12.1218, -1.92435,-6.14619
2.86, 5.04214, -2.01992,-1.85057,12.1026, -1.98581,-6.1231
2.87, 5.02195, -2.03842,-1.82633,12.0827, -2.04704,-6.09927
2.88, 5.00156, -2.05669,-1.80187,12.0623, -2.10803,-6.07471
2.89, 4.98099, -2.07471,-1.77719,12.0412, -2.16878,-6.04941
2.9, 4.96025, -2.09248,-1.7523,12.0195, -2.22927,-6.02338
2.91, 4.93932, -2.11,-1.72719,11.9972, -2.28951,-5.99663
2.92, 4.91822, -2.12727,-1.70187,11.9743, -2.34947,-5.96916
2.93, 4.89695, -2.14429,-1.67634,11.9508, -2.40917,-5.94096
2.94, 4.87551, -2.16105,-1.65061,11.9267, -2.46858,-5.91205
2.95, 4.8539, -2.17756,-1.62468,11.902, -2.5277,-5.88243
2.96, 4.83212, -2.19381,-1.59854,11.8767, -2.58652,-5.8521
2.97, 4.81018, -2.20979,-1.57222,11.8509, -2.64504,-5.82106
2.98, 4.78808, -2.22552,-1.5457,11.8244, -2.70325,-5.78932
2.99, 4.76583, -2.24097,-1.51899,11.7974, -2.76115,-5.75688
3, 4.74342, -2.25616,-1.4921,11.7698, -2.81871,-5.72375
3.01, 4.72086, -2.27108,-1.46503,11.7416, -2.87595,-5.68992
3.02, 4.69815, -2.28573,-1.43778,11.7128, -2.93285,-5.65541
3.03, 4.67529, -2.30011,-1.41035,11.6835, -2.98941,-5.62022
3.04, 4.65229, -2.31421,-1.38275,11.6536, -3.04561,-5.58434
3.05, 4.62915, -2.32804,-1.35498,11.6232, -3.10145,-5.5478
3.06, 4.60587, -2.34159,-1.32704,11.5921, -3.15693,-5.51058
