No iterations: 20000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.0168, 0.983231, -0.994467,0.662029,2.01677, 0.994467,-0.66203
0.0169, 0.983131, -0.994401,0.665955,2.01687, 0.994401,-0.665955
0.017, 0.983032, -0.994334,0.66988,2.01697, 0.994334,-0.66988
0.0171, 0.982932, -0.994267,0.673805,2.01707, 0.994267,-0.673805
0.0172, 0.982833, -0.9942,0.67773,2.01717, 0.9942,-0.67773
0.0173, 0.982733, -0.994132,0.681655,2.01727, 0.994132,-0.681655
0.0174, 0.982634, -0.994064,0.68558,2.01737, 0.994064,-0.68558
0.0175, 0.982535, -0.993995,0.689505,2.01747, 0.993995,-0.689505
0.0176, 0.982435, -0.993926,0.693429,2.01756, 0.993926,-0.693429
0.0177, 0.982336, -0.993857,0.697354,2.01766, 0.993857,-0.697354
0.0178, 0.982236, -0.993787,0.701279,2.01776, 0.993787,-0.701279
0.0179, 0.982137, -0.993717,0.705198,2.01786, 0.993717,-0.705196
0.018, 0.982038, -0.993647,0.709121,2.01796, 0.993647,-0.70912
0.0181, 0.981938, -0.993576,0.713045,2.01806, 0.993576,-0.713045
0.0182, 0.981839, -0.993504,0.716969,2.01816, 0.993504,-0.71697
0.0183, 0.98174, -0.993433,0.720889,2.01826, 0.993433,-0.720887
0.0184, 0.98164, -0.993361,0.724811,2.01836, 0.993361,-0.72481
0.0185, 0.981541, -0.993288,0.728735,2.01846, 0.993288,-0.728735
0.0186, 0.981442, -0.993215,0.732654,2.01856, 0.993215,-0.732652
0.0187, 0.981342, -0.993142,0.736576,2.01866, 0.993142,-0.736576
0.0188, 0.981243, -0.993068,0.740498,2.01876, 0.993068,-0.740499
0.0189, 0.981144, -0.992994,0.744416,2.01886, 0.992994,-0.744416
0.019, 0.981044, -0.99292,0.748338,2.01896, 0.99292,-0.74834
0.0191, 0.980945, -0.992845,0.752257,2.01905, 0.992845,-0.752257
0.0192, 0.980846, -0.99277,0.756176,2.01915, 0.99277,-0.756174
0.0193, 0.980747, -0.992694,0.760097,2.01925, 0.992694,-0.760097
0.0194, 0.980647, -0.992618,0.764014,2.01935, 0.992618,-0.764013
0.0195, 0.980548, -0.992542,0.767935,2.01945, 0.992542,-0.767936
0.0196, 0.980449, -0.992465,0.771853,2.01955, 0.992465,-0.771853
0.0197, 0.98035, -0.992388,0.77577,2.01965, 0.992388,-0.775769
0.0198, 0.98025, -0.99231,0.779688,2.01975, 0.99231,-0.779686
0.0199, 0.980151, -0.992232,0.783606,2.01985, 0.992232,-0.783608
0.02, 0.980052, -0.992154,0.787524,2.01995, 0.992154,-0.787525
0.0201, 0.979953, -0.992075,0.791441,2.02005, 0.992075,-0.791441
0.0202, 0.979853, -0.991996,0.795356,2.02015, 0.991996,-0.795356
0.0203, 0.979754, -0.991916,0.799272,2.02025, 0.991916,-0.799272
0.0204, 0.979655, -0.991837,0.803187,2.02035, 0.991837,-0.803187
0.0205, 0.979556, -0.991756,0.807104,2.02044, 0.991756,-0.807103
0.0206, 0.979457, -0.991675,0.811018,2.02054, 0.991675,-0.811018
0.0207, 0.979357, -0.991594,0.814934,2.02064, 0.991594,-0.814934
0.0208, 0.979258, -0.991513,0.81885,2.02074, 0.991513,-0.81885
0.0209, 0.979159, -0.991431,0.822764,2.02084, 0.991431,-0.822765
0.021, 0.97906, -0.991349,0.82668,2.02094, 0.991349,-0.826681
0.0211, 0.978961, -0.991266,0.83059,2.02104, 0.991266,-0.830588
0.0212, 0.978862, -0.991183,0.834503,2.02114, 0.991183,-0.834502
0.0213, 0.978763, -0.9911,0.838418,2.02124, 0.9911,-0.838418
0.0214, 0.978664, -0.991016,0.842333,2.02134, 0.991016,-0.842333
0.0215, 0.978564, -0.990931,0.84624,2.02144, 0.990931,-0.84624
0.0216, 0.978465, -0.990847,0.850155,2.02153, 0.990847,-0.850155
0.0217, 0.978366, -0.990762,0.854068,2.02163, 0.990762,-0.854069
0.0218, 0.978267, -0.990676,0.857977,2.02173, 0.990676,-0.857977
0.0219, 0.978168, -0.990591,0.861889,2.02183, 0.990591,-0.861891
0.022, 0.978069, -0.990504,0.865799,2.02193, 0.990504,-0.865799
0.0221, 0.97797, -0.990418,0.869711,2.02203, 0.990418,-0.869712
0.0222, 0.977871, -0.990331,0.87362,2.02213, 0.990331,-0.87362
0.0223, 0.977772, -0.990244,0.877527,2.02223, 0.990244,-0.877526
0.0224, 0.977673, -0.990156,0.881441,2.02233, 0.990156,-0.881442
0.0225, 0.977574, -0.990068,0.885348,2.02243, 0.990068,-0.885348
0.0226, 0.977475, -0.989979,0.889255,2.02253, 0.989979,-0.889254
0.0227, 0.977376, -0.98989,0.893164,2.02262, 0.98989,-0.893162
0.0228, 0.977277, -0.989801,0.897075,2.02272, 0.989801,-0.897076
0.0229, 0.977178, -0.989711,0.900981,2.02282, 0.989711,-0.900982
0.023, 0.977079, -0.989621,0.904888,2.02292, 0.989621,-0.904888
